"farm_loc_id","loc_id","active_start_datekey","active_end_datekey","date_added","added_by","last_update","last_update_by","status_id"
"1","107","20160701","20190401","29/8/2019 11:28:42","596","29/8/2019 11:28:42","0","2"
"2","691","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"3","845","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"4","1","20160701","99999999","27/8/2019 11:20:56","596","27/8/2019 11:20:56","0","1"
"5","287","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"6","6","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"7","8","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"8","2","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"9","502","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"10","515","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"11","508","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"12","723","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"13","1232","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"14","432","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
"15","1842","20160701","99999999","15/8/2019 12:58:41","596","15/8/2019 12:58:41","0","1"
