"service_id","service_desc","service_desc_long","meals_served","form_type_id","grouping","group_name","sub_grouping","service_category1","service_sub_category1","regulated_service","organization_id","logo","notes","date_added","added_by","last_update","status_id"
"1","Pantry - Choice - 3 day",,"9","1","1","Food Pantry","1","10","0","1","0","groceries_sm.jpg",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:08","1"
"2","Pantry - Choice - 4 day",,"12","1","1","Food Pantry","1","10","0","1","0","groceries_sm.jpg",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:08","1"
"3","Pantry - Choice - 5 day",,"15","1","1","Food Pantry","1","10","0","1","0","groceries_sm.jpg",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:08","1"
"4","Pantry - Choice - 6 day",,"18","1","1","Food Pantry","1","10","0","1","0","groceries_sm.jpg",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:08","1"
"5","Pantry - Choice - 7 day",,"21","1","1","Food Pantry","1","10","0","1","0","groceries_sm.jpg",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:08","1"
"6","Pantry - Prepack - 3 day",,"9","1","1","Food Pantry","2","15","0","1","0","bag_of_groceries_ico_three.png",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:36","1"
"7","Pantry - Prepack - 4 day",,"12","1","1","Food Pantry","2","15","0","1","0","bag_of_groceries_ico_four.png",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:36","1"
"8","Pantry - Prepack - 5 day",,"15","1","1","Food Pantry","2","15","0","1","0","bag_of_groceries_ico_five.png",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:36","1"
"9","Pantry - Prepack - 6 day",,"18","1","1","Food Pantry","2","15","0","1","0","bag_of_groceries_ico_six.png",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:36","1"
"10","Pantry - Prepack - 7 day",,"21","1","1","Food Pantry","2","15","0","1","0","bag_of_groceries_ico_seven.png",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:36","1"
"11","Emergency - Prepack - 1 day",,"3","1","1","Food Pantry","3","15","0","1","0","grocerybag.gif",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:35","1"
"12","Emergency - Prepack - 2 day",,"6","1","1","Food Pantry","3","15","0","1","0","grocerybag.gif",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:15:35","1"
"13","Special - Perishables only",,"6","1","1","Food Pantry","4","20","0","1","0","veggies_sm.png",,"23/2/2012 06:05:33","mmollenk","20/4/2019 11:16:36","1"
"14","Baby - Diapers",,"0","2","4","Non-Food Items","1","30","0","0","0",,,"23/2/2012 06:05:33","mmollenk","22/5/2014 11:43:16","1"
"15","Baby - Formula",,"0","2","4","Non-Food Items","1","30","0","0","0",,,"23/2/2012 06:05:33","mmollenk","22/5/2014 11:43:17","1"
